,Description,Price,Unit
0,"PS 200 EH 10' PGAL Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 10'",10.58,FT
1,"PS 500 EH 10' PGAL Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8"" x 13/16"" x 10'",7.89,FT
2,H-132-OS x 10' PRE-GALV 10' PREGAL Steel EH Strut,5.10,FT
3,H-164-OS x 10' PRE-GALV 10' 14G PREGAL Steel OS Strut,3.80,FT
4,"PS 200 EH 10' SS Strut - Elongated Holes, Stainless Steel 304, 1-5/8"" x 1-5/8"" x 10'",55.94,FT
5,"PS 500 EH 10' SS Strut - Elongated Holes, Stainless Steel 304",33.48,FT
6,"PS 200 EH 20' PGAL Strut - Elongated Holes, Steel, Pre-Galvanized, 1-5/8 x 1-5/8 x 20",10.58,FT
7,"PS 200 EH 10' HDG Strut - Elongated Holes, Steel, Hot-Dipped Galvanized, 1-5/8"" x 1-5/8"" x 10'",47.18,FT
8,"PS 200 EH 10' ZD Strut - Elongated Holes, Steel, Gold, 1-5/8"" x 1-5/8"" x 10'",18.86,FT
9,"PS 200 EH 2T3 10' PGAL Strut - Back To Back, Steel, Holes, Pre-Galvanized, 1-5/8"" x 3-1/4"" x 10'",47.79,FT
10,"PS 200 10' PGAL Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 10'",14.43,FT
11,"PS 200 2T3 10' PGAL Strut - Back To Back, Steel, Pre-Galvanized, 1-5/8"" x 3-1/4"" x 10'",26.29,FT
12,"PS 500 EH 10' HDG Strut - Elongated Holes, Steel, Hot-Dipped Galvanized, 1-5/8"" x 13/16"" x 10'",25.80,FT
13,"PS 500 EH 10' ZD Strut - Elongated Holes, Steel, Gold, 1-5/8"" x 13/16"" x 10'",15.66,FT
14,"PS 200 EH 10' ALUM Strut, Elongated Holes, Aluminum, 1-5/8"" x 1-5/8"" x 10'",47.19,FT
15,"PS 500 EH 2T3 10' PGAL Strut - 1-5/8"" x 13/16"" Back To Back, Holes, Steel, Pre-Galvanized, 10' Length",61.01,FT
16,"PS 500 10' PGAL Strut - No Holes, 1-5/8"" x 13/16"" x 10'",11.27,FT
17,"PS 707 10' PGAL Snap Closure Strip for 1-5/8"" Wide Struts, Steel, 10'",11.62,FT
18,"PS 500 EH 20' PGAL Strut - Elongated Holes on Back, Steel, Pre-Galv, 13/16"" x 1-5/8"", 20'",11.27,FT
19,"PS 500 EH 10' ALUM Strut - Elongated Holes, Aluminum, 1-5/8"" x 13/16"" x 10'",31.85,FT
20,20P-2000-SST Heavy Duty Standard Profile No Holes Fiberglass,24.73,FT
21,"PS 200 20' PGAL Strut - No Holes, Steel, Pre-Galvanized, 1-5/8"" x 1-5/8"" x 20'",14.43,FT
22,B 907 10  STRUT 14GA 1-1/2X3/4IN 10FT STL,12.00,FT
23,"B-905-10 Strut w/ Holes, 1-1/2"" x 1-1/2"" x 10', Steel, Gold",15.78,FT
24,20P-1000 Fiberglass Strut,18.12,FT
25,"PS 200 EH 2T3 20' PGAL Strut - Back To Back, Steel, Holes, Pre-Galvanized, 1-5/8"" x 3-1/4"" x 20'",47.79,FT
26,"PS 500 10' ALUM Strut - No Holes, Aluminum, 1-5/8"" x 13/16"" x 10'",23.46,FT
